Party,Color
INC(I),#138808
BLD,#00ff99
INC,#138808
BJP,#ff9933
JD,#90f887
JNP(S),#bf4080
BJS,#ff9933
CPM,#991f00
SWA,#0066cc
SP,#990000
JNP,#602040
ADMK,#37f226
AITC,#ffad33
JS,#339966
TDP,#ffff00
DMK,#b3b300
BJD,#4df43e
JD(U),#90f887
CPI,#ff3300
TMC(M),#993366
RJD,#cc0066
IND,#808080
ADK,#37f226
BSP,#003399
SAD,#0000ff
AIRJP,#009999
NCP,#99003d
BJNKP,#333300
GPP,#ffcc00
AAP,#87CEEB
AAAP,#87CEEB
TRS,#ea4fef
YSRCP,#a64fef
AIADMK,#ED2928
SHS,#EA5A03
JD(S),#166F46
NPF,#DA251D
SDF,#FFCB03
INLD,#47ABFF
JKPDP,#0C623B
JKN,#FF0000
JMM,#1DA21E
AIMIM,#285B35
AIUDF,#00FF00
MNF,#CA8C1F
NPEP,#AB7B4A
DMDK,#FFFF00
AGP,#E9C6BD
BOPF,#FFBC90
UDP,#D1141A
AINRC,#19FF05
IUML,#006600
MUL,#006600
PRAP,#F97C00
LJP,#0094DE
JVM,#B7BA00
KEC(M),#DD1200
RSP,#F20400
NDPP,#AD0200
AIFB,#DA0000
RLD,#0B6F2F
MNS,#FF9933
SKM,#F20A00
AJSUP,#FF7F00
PPA,#E2C000
HJCBL,#18700B
ADAL,#d21b92
HSPDP,#8e4e67
IPFT,#21ee2e
PWPI,#a09dcd
MAG,#05dc46
KJP,#a93837
BVA,#0a6003
GOJAM,#fc76e7
BLSP,#0388d6
JCC(J),#d4bf1a
PDF,#dffe92
BJSH,#756a45
MSCP,#03b711
BTP,#bddc3e
BSRCP,#c8fb8f
NPP,#af6b43
PMK,#b40c5e
PECP,#1c0ea0
SBSP,#8472dc
CPI(ML) (L),#9c6f73
GFP,#40a33c
JKNPP,#3f1a6e
SWP,#b7ae02
MPC,#b38e85
RaLtP,#fab802
AD,#90afbe
LSP,#49a74a
GVP,#815a53
JPC,#2d34ec
MCO,#82f4e5
JBSP,#53e0f3
JKP,#0752dc
SJD,#84df33
KEC(J),#b0f80e
KEC(B),#506e7a
BBM,#0c58a9
JSS,#b355df
RSPS,#3a4d83
KHNAM,#5b756c
ZNP,#069568
LIP,#56f9dd
NUZP,#9fd529
MAMAK,#5f5aaf
PT,#cbc252
QED,#18700B
VCK,#d21b92
ADS,#8e4e67
NPT,#21ee2e
HAMS,#a09dcd
HLP,#05dc46
JKDPN,#a93837
JKPDF,#0a6003
CPI(ML)(L),#fc76e7
JHJAM,#0388d6
RAKAP,#d4bf1a
CPI(M (L)L),#dffe92
NSAM,#756a45
KMP,#03b711
SKP,#bddc3e
KPJP,#c8fb8f
KRSP,#af6b43
C(S),#b40c5e
NSC,#1c0ea0
CMPKSC,#8472dc
LKSGM,#9c6f73
NESDP,#40a33c
GNC,#3f1a6e
MDF,#b7ae02
SKD,#b38e85
LSWP,#fab802
INPT,#90afbe
IEMC,#49a74a
NINSHAD,#815a53
UKDP,#2d34ec
SUCI,#82f4e5
DSP(P),#53e0f3
AUDF,#0752dc
AJSU Party,#84df33
RLP,#b0f80e
MDMK,#506e7a
JNJP,#C4224A
VIP,#fbb4ae